Data;Hour;Rain;Temp
01/01/2021;0000 UTC;0,2;22,3
01/01/2021;0100 UTC;0;21,3
01/01/2021;0200 UTC;0;21
01/01/2021;0300 UTC;0;20,6
01/01/2021;0400 UTC;0;20,6
01/01/2021;0500 UTC;0;20,2
01/01/2021;0600 UTC;0;20
01/01/2021;0700 UTC;0;19,7
01/01/2021;0800 UTC;0;19,6
01/01/2021;0900 UTC;0;19,9
01/01/2021;1000 UTC;0;22,4
01/01/2021;1100 UTC;0;23,2
01/01/2021;1200 UTC;0;25,6
01/01/2021;1300 UTC;0;26,6
01/01/2021;1400 UTC;0;27,5
01/01/2021;1500 UTC;0;28,4
01/01/2021;1600 UTC;0;28,3
01/01/2021;1700 UTC;0;27,4
01/01/2021;1800 UTC;4,2;25,5
01/01/2021;1900 UTC;26;21,6
01/01/2021;2000 UTC;1,2;20,9
01/01/2021;2100 UTC;0,2;21,2
01/01/2021;2200 UTC;5,2;18,1
01/01/2021;2300 UTC;20,4;18,6
02/01/2021;0000 UTC;5,6;18,6
02/01/2021;0100 UTC;2,8;18,1
02/01/2021;0200 UTC;0,2;17,6
02/01/2021;0300 UTC;0,2;18,1
02/01/2021;0400 UTC;0;17,5
02/01/2021;0500 UTC;0;17,4
02/01/2021;0600 UTC;0;17,5
02/01/2021;0700 UTC;0;17,7
02/01/2021;0800 UTC;0;17,1
02/01/2021;0900 UTC;0;17,2
02/01/2021;1000 UTC;0;18,7
02/01/2021;1100 UTC;0;20
02/01/2021;1200 UTC;0;22
02/01/2021;1300 UTC;0;23,2
02/01/2021;1400 UTC;0;24,3
02/01/2021;1500 UTC;0;24,7
02/01/2021;1600 UTC;0;24
02/01/2021;1700 UTC;0;24,5
02/01/2021;1800 UTC;0;25,8
02/01/2021;1900 UTC;0;24,2
02/01/2021;2000 UTC;0;23,9
02/01/2021;2100 UTC;0;22,5
02/01/2021;2200 UTC;0;22
02/01/2021;2300 UTC;0,6;21,4
03/01/2021;0000 UTC;5,6;20
03/01/2021;0100 UTC;3,2;17,8
03/01/2021;0200 UTC;9;17,1
03/01/2021;0300 UTC;2,6;17,3
03/01/2021;0400 UTC;5,8;17
03/01/2021;0500 UTC;0,8;16,5
03/01/2021;0600 UTC;0,2;16,4
03/01/2021;0700 UTC;0;16,2
03/01/2021;0800 UTC;0;16,3
03/01/2021;0900 UTC;0;16,8
03/01/2021;1000 UTC;0;17,6
03/01/2021;1100 UTC;0;18
03/01/2021;1200 UTC;0;20,1
03/01/2021;1300 UTC;0;21,3
03/01/2021;1400 UTC;0;22,9
03/01/2021;1500 UTC;0,2;24,6
03/01/2021;1600 UTC;0;24,6
03/01/2021;1700 UTC;0;24,3
03/01/2021;1800 UTC;0;25,7
03/01/2021;1900 UTC;0;24,7
03/01/2021;2000 UTC;0;23,6
03/01/2021;2100 UTC;0;22,8
03/01/2021;2200 UTC;0;21,3
03/01/2021;2300 UTC;0;20,8
04/01/2021;0000 UTC;4,4;18,1
04/01/2021;0100 UTC;11,8;17,2
04/01/2021;0200 UTC;4,6;17,1
04/01/2021;0300 UTC;0,4;16,5
04/01/2021;0400 UTC;0;16,6
04/01/2021;0500 UTC;0;16,5
04/01/2021;0600 UTC;0;16,2
04/01/2021;0700 UTC;0;16,1
04/01/2021;0800 UTC;0;16
04/01/2021;0900 UTC;0;16,4
04/01/2021;1000 UTC;0;17,2
04/01/2021;1100 UTC;0;18
04/01/2021;1200 UTC;0;20,2
04/01/2021;1300 UTC;0;21
04/01/2021;1400 UTC;0;22,5
04/01/2021;1500 UTC;0;22,8
04/01/2021;1600 UTC;0;24,3
04/01/2021;1700 UTC;0;23,5
04/01/2021;1800 UTC;0;24,6
04/01/2021;1900 UTC;0;23,6
04/01/2021;2000 UTC;0;23,7
04/01/2021;2100 UTC;0;22,8
04/01/2021;2200 UTC;0;20,8
04/01/2021;2300 UTC;0;20,5
05/01/2021;0000 UTC;0;20,3
05/01/2021;0100 UTC;0;20,4
05/01/2021;0200 UTC;0;19,7
05/01/2021;0300 UTC;0;20
05/01/2021;0400 UTC;0;19,7
05/01/2021;0500 UTC;0;19,7
05/01/2021;0600 UTC;0;19,5
05/01/2021;0700 UTC;0;19,4
05/01/2021;0800 UTC;0;19,5
05/01/2021;0900 UTC;0;19,6
05/01/2021;1000 UTC;0;21
05/01/2021;1100 UTC;0;22,8
05/01/2021;1200 UTC;0;22,9
05/01/2021;1300 UTC;0;24,9
05/01/2021;1400 UTC;0;25,9
05/01/2021;1500 UTC;0;25,5
05/01/2021;1600 UTC;0;27,2
05/01/2021;1700 UTC;0;27,8
05/01/2021;1800 UTC;0;26,4
05/01/2021;1900 UTC;0;25,7
05/01/2021;2000 UTC;0;24
05/01/2021;2100 UTC;4,2;21,3
05/01/2021;2200 UTC;2,4;20,9
05/01/2021;2300 UTC;0;20,8
06/01/2021;0000 UTC;0;20,6
06/01/2021;0100 UTC;0;20,4
06/01/2021;0200 UTC;0;20,6
06/01/2021;0300 UTC;0;20,4
06/01/2021;0400 UTC;0;20,1
06/01/2021;0500 UTC;0;19,7
06/01/2021;0600 UTC;0;19,8
06/01/2021;0700 UTC;0;19,7
06/01/2021;0800 UTC;0;19,5
06/01/2021;0900 UTC;0;20,3
06/01/2021;1000 UTC;0;21,8
06/01/2021;1100 UTC;0;23,2
06/01/2021;1200 UTC;0;25,3
06/01/2021;1300 UTC;0;25,6
06/01/2021;1400 UTC;0,2;26,4
06/01/2021;1500 UTC;0;27,7
06/01/2021;1600 UTC;0;26,2
06/01/2021;1700 UTC;17;
06/01/2021;1800 UTC;4,2;
06/01/2021;1900 UTC;0;
06/01/2021;2000 UTC;0,2;
06/01/2021;2100 UTC;0;
06/01/2021;2200 UTC;0;
06/01/2021;2300 UTC;0;
07/01/2021;0000 UTC;0;
07/01/2021;0100 UTC;0;
07/01/2021;0200 UTC;0;
07/01/2021;0300 UTC;0;
07/01/2021;0400 UTC;0;
07/01/2021;0500 UTC;0;
07/01/2021;0600 UTC;0;
07/01/2021;0700 UTC;0;
07/01/2021;0800 UTC;0;
07/01/2021;0900 UTC;0;
07/01/2021;1000 UTC;0;
07/01/2021;1100 UTC;0;
07/01/2021;1200 UTC;0,2;
07/01/2021;1300 UTC;0;
07/01/2021;1400 UTC;0;
07/01/2021;1500 UTC;0;
07/01/2021;1600 UTC;0;
07/01/2021;1700 UTC;0;
07/01/2021;1800 UTC;0;
07/01/2021;1900 UTC;0;
07/01/2021;2000 UTC;0;
07/01/2021;2100 UTC;4,6;
07/01/2021;2200 UTC;11,6;
07/01/2021;2300 UTC;4,6;
08/01/2021;0000 UTC;6;
08/01/2021;0100 UTC;2;
08/01/2021;0200 UTC;0,6;
08/01/2021;0300 UTC;0,2;
08/01/2021;0400 UTC;0,2;
08/01/2021;0500 UTC;0;
08/01/2021;0600 UTC;0,2;
08/01/2021;0700 UTC;0,2;
08/01/2021;0800 UTC;0;
08/01/2021;0900 UTC;0;
08/01/2021;1000 UTC;0;
08/01/2021;1100 UTC;0;
08/01/2021;1200 UTC;0;
08/01/2021;1300 UTC;0,2;
08/01/2021;1400 UTC;0;
08/01/2021;1500 UTC;0;
08/01/2021;1600 UTC;0;
08/01/2021;1700 UTC;0;
08/01/2021;1800 UTC;0;
08/01/2021;1900 UTC;0;
08/01/2021;2000 UTC;0;
08/01/2021;2100 UTC;0;
08/01/2021;2200 UTC;0;
08/01/2021;2300 UTC;0;
09/01/2021;0000 UTC;0;
09/01/2021;0100 UTC;0;
09/01/2021;0200 UTC;0,4;
09/01/2021;0300 UTC;7,2;
09/01/2021;0400 UTC;1,6;
09/01/2021;0500 UTC;0,6;
09/01/2021;0600 UTC;0,2;
09/01/2021;0700 UTC;0;
09/01/2021;0800 UTC;0;
09/01/2021;0900 UTC;0;
09/01/2021;1000 UTC;0,4;
09/01/2021;1100 UTC;0;
09/01/2021;1200 UTC;0;
09/01/2021;1300 UTC;0;
09/01/2021;1400 UTC;0;
09/01/2021;1500 UTC;0;
09/01/2021;1600 UTC;0;
09/01/2021;1700 UTC;0;
09/01/2021;1800 UTC;0;
09/01/2021;1900 UTC;0;
09/01/2021;2000 UTC;0;
09/01/2021;2100 UTC;6,2;
09/01/2021;2200 UTC;2,4;
09/01/2021;2300 UTC;1,4;
10/01/2021;0000 UTC;0,8;
10/01/2021;0100 UTC;0,2;
10/01/2021;0200 UTC;0;
10/01/2021;0300 UTC;0;
10/01/2021;0400 UTC;0;
10/01/2021;0500 UTC;0;
10/01/2021;0600 UTC;0;
10/01/2021;0700 UTC;0;
10/01/2021;0800 UTC;0;
10/01/2021;0900 UTC;0;
10/01/2021;1000 UTC;0;
10/01/2021;1100 UTC;0;
10/01/2021;1200 UTC;0;
10/01/2021;1300 UTC;0;
10/01/2021;1400 UTC;0,2;
10/01/2021;1500 UTC;0;
10/01/2021;1600 UTC;0;
10/01/2021;1700 UTC;0;
10/01/2021;1800 UTC;0;
10/01/2021;1900 UTC;0;
10/01/2021;2000 UTC;0;
10/01/2021;2100 UTC;0;
10/01/2021;2200 UTC;0;
10/01/2021;2300 UTC;0;
11/01/2021;0000 UTC;0;
11/01/2021;0100 UTC;0;
11/01/2021;0200 UTC;0;
11/01/2021;0300 UTC;0;
11/01/2021;0400 UTC;0;
11/01/2021;0500 UTC;0;
11/01/2021;0600 UTC;0;
11/01/2021;0700 UTC;0;
11/01/2021;0800 UTC;0;
11/01/2021;0900 UTC;0;
11/01/2021;1000 UTC;0;
11/01/2021;1100 UTC;0;
11/01/2021;1200 UTC;0;
11/01/2021;1300 UTC;0;
11/01/2021;1400 UTC;0;
11/01/2021;1500 UTC;0;
11/01/2021;1600 UTC;0;
11/01/2021;1700 UTC;0;
11/01/2021;1800 UTC;0;
11/01/2021;1900 UTC;0;
11/01/2021;2000 UTC;0;
11/01/2021;2100 UTC;0;
11/01/2021;2200 UTC;0;
11/01/2021;2300 UTC;0;
12/01/2021;0000 UTC;0;
12/01/2021;0100 UTC;0;
12/01/2021;0200 UTC;0;
12/01/2021;0300 UTC;0;
12/01/2021;0400 UTC;0;
12/01/2021;0500 UTC;0;
12/01/2021;0600 UTC;0;
12/01/2021;0700 UTC;0;
12/01/2021;0800 UTC;0;
12/01/2021;0900 UTC;0;
12/01/2021;1000 UTC;0;
12/01/2021;1100 UTC;0;
12/01/2021;1200 UTC;0;
12/01/2021;1300 UTC;;
12/01/2021;1400 UTC;0;27,1
12/01/2021;1500 UTC;0;27,4
12/01/2021;1600 UTC;0;28
12/01/2021;1700 UTC;0;26
12/01/2021;1800 UTC;0;25,7
12/01/2021;1900 UTC;0;24,7
12/01/2021;2000 UTC;0;23
12/01/2021;2100 UTC;0;22,5
12/01/2021;2200 UTC;0;21,3
12/01/2021;2300 UTC;0;20,9
13/01/2021;0000 UTC;0;20,5
13/01/2021;0100 UTC;0;20
13/01/2021;0200 UTC;0;19,8
13/01/2021;0300 UTC;0;19,5
13/01/2021;0400 UTC;0;19,4
13/01/2021;0500 UTC;0;19,8
13/01/2021;0600 UTC;0;20
13/01/2021;0700 UTC;0;19,3
13/01/2021;0800 UTC;0;18,8
13/01/2021;0900 UTC;0;18,8
13/01/2021;1000 UTC;0;20,4
13/01/2021;1100 UTC;0;21,8
13/01/2021;1200 UTC;0;22,3
13/01/2021;1300 UTC;0;23,1
13/01/2021;1400 UTC;0;26,4
13/01/2021;1500 UTC;0;26,1
13/01/2021;1600 UTC;0;26,7
13/01/2021;1700 UTC;0;27,4
